length	total_percentage	start_percentage	around_start	offset_from_5	offset_from_3	corrected_offset_from_5	corrected_offset_from_3	sample
25	3.026	3.165	T	9	15	9	15	SRR1562875.bam
26	4.798	4.585	T	10	15	10	15	SRR1562875.bam
27	8.49	8.097	T	11	15	11	15	SRR1562875.bam
28	23.521	21.447	T	12	15	12	15	SRR1562875.bam
29	29.585	29.834	T	13	15	13	15	SRR1562875.bam
30	19.786	20.744	T	13	16	13	16	SRR1562875.bam
31	8.697	9.739	T	13	17	13	17	SRR1562875.bam
32	1.826	2.1	T	13	18	19	12	SRR1562875.bam
33	0.212	0.239	T	14	18	17	15	SRR1562875.bam
34	0.046	0.041	T	15	18	19	14	SRR1562875.bam
35	0.013	0.01	T	14	20	21	13	SRR1562875.bam
