Seq_ID                    	HCA    	Disord 	Aggreg 	HCA_seq
cds-NP_414542.1           	3.100  	0.762  	0.524  	10010001000101.......	
cds-NP_414543.1           	2.250  	0.024  	0.137  	101101..........11010011........10011.....1000110110001..............110011001........1001001100010010011001011001...1000111....1010110011............10011010011000101................1111001..................100011001100011011001001101.........110010100010101100011.......100101...........................100100100101101....100110100011001....101111......1010111...........10001110100011..1010001011011000100100100011001....101101........10111........101000111....11011110100100011001...........10101101.....11001001010010001......1010011011001011..11101.....1000100110001011..........101100101........11100010001.110010011.....1101001100010111001000101.....1000101........1001010001111.......10100101.............1001100100100110001........11011001....110101001...............10110011....111001..........110011001010101	
cds-NP_414544.1           	2.250  	0.000  	0.135  	11011.......101010110001..100011001101.....1010010010001.......11101100110010001.101010001.10001....10110011010001........110110010001000101001..1110010111....110001..1001111101.............................100110011.....1000110011...100011.........10010010001......11011........1001100011.....1101101..........	
cds-NP_414545.1           	2.710  	0.047  	0.063  	101101......10100010001..............101001001101011.....1100110001...110001000101...10010001011011....101001000110011001...................10001101..1011111.......100011101000100101000100100110001....1010101.....10100110011111001001.......11101....100100011000101.10011....10001.................1000101........10011000110100101001........100100101.......1010010001....10111.......100010011000101...........110001...100100111...	
cds-NP_414546.1           	-2.300 	0.276  	0.112  	1001001110101111...............10101...................11000101...................................	
cds-NP_414547.1           	0.150  	0.035  	0.078  	11111........................................10011010001001....................110100011001................10110011011........101010101.......11011001100010001......11101....11001....100011...........1011011......11001110001.........................111001...	
cds-NP_414548.1           	4.610  	0.021  	0.399  	...110110011100111111100011101000110101100100010001......100100110010001....10010101.......1111110011010001001010011....10001.....1110001010110111011111010111001....10001010101..110011101101101000100100110011.110111110011111101001..111011000101.........1010001000100011...........................110110111001111....11111.........10010110001011100100011011111101001100111....111101.....11110110100110001101.111010011101101001001111..1100100011..................10001...........	
cds-NP_414549.1           	1.180  	0.035  	0.101  	100010010010011.....1001011....................10011000101..................1010101011011...10001000101...........11011.........111010001001..........10101011101................110011011................11010011011....100111000100100110100100101...11001......10001010001....................101001000100101....100110011	
cds-NP_414550.1           	0.570  	0.062  	0.123  	10010101101................100110001...10100011.....1100011011001010111...........................1000100101011...110001011....11101......10001001......1110011001.111011..........11001...........	
cds-NP_414551.1           	4.860  	0.053  	0.574  	...........10110101001110100101101001110101110010011001101.....1010010010011101101111............110111011011011111001....110111101011101101001.....110100110111....111010011000100011......	
cds-NP_414552.1           	3.500  	0.000  	0.000  	101011....1011001....10010011.........10011100011001..........10110001001....10001.....110011101000101.....1001010001100110001001.......1100100010010011.111000110001001100010011.....101100011........10001001001....10101..11010110011.....	
cds-YP_009518733.1        	4.170  	0.037  	0.106  	1010110001...10001011................100011100011101100010001101001010100101001.....100101.....11011..........101010011001..10100010100100011.10111.....100100101	
cds-NP_414554.1           	-0.160 	0.060  	0.112  	1001101000101011111........1100101.......10101.1101100101...................................................1100101.........1001011...	
cds-NP_414555.1           	-1.150 	0.139  	0.053  	100110101.....11011..............................................110100110001....10001011.........................100011001...........10001101.................1001010011.......10101........101101....10101101001.....................1000110111001............101001.................................10101....1001100110001..10101....101001001111.......1100010011.............101000100011000100111101..1010100100110011.......................101011............100101001.........1010101.................................10011............10011...............................100010010001.......100010010010001101........................110001001....	
cds-NP_414556.1           	-0.880 	0.125  	0.035  	.....1101101........100010010101..............10010001011................................1001100110011..............1010101010001001000101..1001011......................10100011010001............................10101...........................1110101............11101.10101001000101..100010101...........................1110111............110010001..............110010011001..	
cds-NP_414557.1           	-0.170 	0.041  	0.084  	.......10011001...........................11010101....101001001001001001001011001.....11011....1010001001.......................1010101....10100101...............................1100101....1110101001011....10101101100101.........................110101.................................1111001.........100110101010101001001101001......10001110011001110011.................	
cds-NP_414559.1           	0.650  	0.203  	0.391  	1100101..................111011111100110011....110101......1011001...	
cds-YP_025292.1           	1.980  	0.120  	0.540  	......111011111100110011....110101......1011001...	
cds-NP_414560.1           	5.310  	0.000  	0.508  	10010011.......1111100110111........110011...1010100101000111110001101111110101000110001001......1100100111..11110101................101010110110001.101011110101100100111101110001010010100101011011011......1111101111001100010001001110111.............10011..1101111.........101001010010011.101100111...101011111010101001.....10011110111010101011100101001...1101001011100100011010110101....	
cds-NP_414561.1           	3.060  	0.000  	0.080  	101001010011111011..................10001001000100011...........1001110100011010001101101.....1110101000100011001100011....101011.....111001....10111001.........110101001010111.........................1100011011....101011001....11001001000111...1101011....11010010011001001100011....1001100010011.....	
cds-NP_414562.1           	4.490  	0.126  	0.114  	...............1001001....10001.....11110010001011.......111101001000110011....10010011011..10111110001.110001000101100010001....1010001001....10100010100011001101001.	
cds-NP_414563.1           	0.270  	0.088  	0.000  	10010101.....................1110010001010101..........11010100101.....1101010011001.......	
cds-NP_414564.1           	-3.490 	0.402  	0.057  	..........................1100110011001.......................................10001001.	
cds-NP_414565.1           	5.690  	0.000  	0.097  	110001......1101001010100101........111010100011110110001010010011001011	
cds-NP_414566.1           	2.750  	0.045  	0.083  	1011001001.......11101001001......11001..........111111................1001000101100101011111010001001....11001110010101101000101...............1010101.....11000101....10001....10100011...10100011....1000101......10001..100110101101................10010001010110101011000101110001.....10010010001.................	
cds-NP_414567.1           	1.170  	0.021  	0.070  	1001000101......10001......11001....11011......................1010001001100111...............101001.101010001...........10001001...........1101011001...110101.....110010011...........10111010001..............10101001....1000101001...101111..................10101101....11100011001100101001011001....101101...110101..11000101.................111000101...................1001011....111011.....11010010001.................11101.........1001001011.......10011.................10111...........1011001000101001001101...................10111.................................111001110001.....10011000101......100010001....11001000110111....100010100011...............111001001...........11110010101.......110010010100110011011010100111011................1000110100011011..........11011......11100011001101.....10001100110100010011........100010001011....10001001000101111....................110010101..........11010001001.....110011001..........	
cds-NP_414568.1           	6.120  	0.000  	0.378  	1000110001011111111111010001111001010001.....1010100010001011.....1001110010101011101111.......10010101110001001100110011101101110010100101....11100011110011.......	
cds-NP_414569.1           	-0.490 	0.081  	0.161  	10001.....111010101........................10001000110101....................11011............1001111001.......11001....10101........1010101101......	
cds-NP_414570.1           	0.810  	0.076  	0.114  	10111.....1100100010110001011...11100011000111001.....111001001............10001........10110001.110010101....................10001001...............110101.....................110010001..............................11111..........10010001............10001100101101........1110011001001..............11101...10101001.	
cds-NP_414571.1           	1.310  	0.016  	0.171  	............100010100011...101011001000101.......10110110001.........................1001011...........110100011.....101101..10010111001.....11001111.........................1110001011110101.........11001........110011001....10001010011010111.........11101...........11010011.....1010101010010011001101..	
cds-NP_414572.1           	0.570  	0.018  	0.092  	.....10101......100011000101001010001......................10100010010001011101......1001011............................10111000101010111011.....11001001011...............101000100010001001011.............101001...........11001000101..............1000111......1101001101001	
cds-NP_414573.1           	0.180  	0.079  	0.107  	110001111.................10011100010010011....1000110101......................111001.110001.....10011....1101001....10011..............................1001010001............1010001..........10110101.....110111000101011............................1010100100110001.1101110001101......10101........10010001111........................110001001.........................110011011001.....	
