Seq_ID                                         	HCA    	Disord 	Aggreg 
NC_000913.3_-_7-81_1_nc_intergenic             	-0.290 	nan    	nan    	
NC_000913.3_+_3655-3858_0_nc_intergenic        	-7.100 	nan    	nan    	
NC_000913.3_-_5014-5085_1_nc_intergenic        	-2.430 	nan    	nan    	
NC_000913.3_+_4999-5142_0_nc_intergenic        	1.150  	nan    	nan    	
NC_000913.3_-_5146-5361_1_nc_intergenic        	-0.170 	nan    	nan    	
NC_000913.3_+_7990-8061_0_nc_intergenic        	6.910  	nan    	nan    	
NC_000913.3_-_8017-8097_1_nc_intergenic        	1.230  	nan    	nan    	
NC_000913.3_+_8083-8178_0_nc_intergenic        	0.100  	nan    	nan    	
NC_000913.3_-_8098-8232_1_nc_intergenic        	-0.770 	nan    	nan    	
NC_000913.3_-_9145-9246_1_nc_intergenic        	-4.120 	nan    	nan    	
NC_000913.3_+_9202-9291_0_nc_intergenic        	-1.340 	nan    	nan    	
NC_000913.3_+_9745-10299_0_nc_intergenic       	-3.240 	nan    	nan    	
NC_000913.3_+_10543-10620_0_nc_intergenic      	3.920  	nan    	nan    	
NC_000913.3_-_10558-10704_1_nc_intergenic      	-4.750 	nan    	nan    	
NC_000913.3_-_11797-11877_1_nc_intergenic      	1.920  	nan    	nan    	
NC_000913.3_+_11833-11928_0_nc_intergenic      	1.840  	nan    	nan    	
NC_000913.3_+_11929-12042_0_nc_intergenic      	3.050  	nan    	nan    	
NC_000913.3_-_11947-12045_1_nc_intergenic      	7.030  	nan    	nan    	
NC_000913.3_-_12046-12120_1_nc_intergenic      	0.500  	nan    	nan    	
NC_000913.3_+_12079-12162_0_nc_intergenic      	-3.520 	nan    	nan    	
NC_000913.3_+_14080-14151_0_nc_intergenic      	-4.130 	nan    	nan    	
NC_000913.3_+_15283-15351_0_nc_intergenic      	-6.450 	nan    	nan    	
NC_000913.3_-_15295-15402_1_nc_intergenic      	-4.430 	nan    	nan    	
NC_000913.3_+_15352-15432_0_nc_intergenic      	7.230  	nan    	nan    	
NC_000913.3_+_16672-16773_0_nc_intergenic      	-1.150 	nan    	nan    	
NC_000913.3_+_17026-17142_0_nc_intergenic      	-1.950 	nan    	nan    	
NC_000913.3_-_17044-17154_1_nc_intergenic      	0.860  	nan    	nan    	
NC_000913.3_+_17146-17211_0_nc_intergenic      	9.330  	nan    	nan    	
NC_000913.3_-_17287-17466_1_nc_intergenic      	2.850  	nan    	nan    	
NC_000913.3_+_17434-17514_0_nc_intergenic      	-1.770 	nan    	nan    	
NC_000913.3_-_19693-19824_1_nc_intergenic      	4.930  	nan    	nan    	
NC_000913.3_+_20476-20622_0_nc_intergenic      	0.170  	nan    	nan    	
NC_000913.3_-_20578-20655_1_nc_intergenic      	-3.120 	nan    	nan    	
NC_000913.3_+_20623-20688_0_nc_intergenic      	1.860  	nan    	nan    	
NC_000913.3_-_20665-20799_1_nc_intergenic      	-2.590 	nan    	nan    	
NC_000913.3_+_20689-21063_0_nc_intergenic      	4.410  	nan    	nan    	
NC_000913.3_+_21064-21171_0_nc_intergenic      	1.030  	nan    	nan    	
NC_000913.3_+_22306-22398_0_nc_intergenic      	-4.900 	nan    	nan    	
NC_000913.3_+_26242-26322_0_nc_intergenic      	-1.850 	nan    	nan    	
NC_000913.3_-_26227-26328_1_nc_intergenic      	-10.000	nan    	nan    	
NC_000913.3_+_27244-27321_0_nc_intergenic      	3.960  	nan    	nan    	
NC_000913.3_+_28186-28260_0_nc_intergenic      	-1.960 	nan    	nan    	
